2024 RANK,2023 RANK,COMPANY,CITY, STATE, USDOT, EXECUTIVE,TITLE,WEBSITE,PRIMARY OPERATION,CARRIERS,2023 REVENUE, LEASED TRUCKS, OWNED TRUCKS,TOTAL TRUCKS, LEASED TRACTORS, OWNED TRACTORS,TOTAL TRACTORS, LEASED TRAILERS, OWNED TRAILERS,TOTAL TRAILERS, COMPANY DRIVERS, INDEPENDENT CONTRACTORS,TOTAL DRIVERS
32,26,"CR England, Inc.",Salt Lake City,UT,28406,Daniel E England,Chairman,www.crengland.com,Refrigerated,"CR England, Inc.",,0,0,0,"2,135","2,119","4,254",,"8,936","8,936",,,"4,204"
33,40,"Western Express, Inc.",Nashville,TN,511412,Paul Wieck,CEO,www.westernexp.com,General Freight,Western Express,,0,0,0,0,"3,600","3,600",,"10,259","10,259",,,"4,390"
34,30,Hub Group,Oak Brook,IL,801828,Phillip Yeager,President & COO,www.hubgroup.com,Intermodal,Hub Group Trucking,"2,495,663,000",54,4,58,446,"2,141","2,587",0,"4,658","4,658",,,"3,382"
35,35,DHL Express Americas,Plantation,FL,,Mike Parra,CEO,www.dhl-usa.com,Packages,,"6,654,761,900",257,75,332,939,426,"1,365",0,"3,788","3,788",,,"4,468"
36,43,"Covenant Transportation Group, Inc.",Chattanooga,TN,,David R. Parker,Chairman & CEO,www.covenanttransport.com,General Freight,,"1,103,573,000",1,0,1,"1,798","1,391","3,189",0,"4,361","4,361",,,"3,476"
37,37,"Marten Transport, Ltd.",Mondovi,WI,74432,Timothy M. Kohl,CEO,www.marten.com,Refrigerated,"Marten Transport, Ltd.","1,131,455,000",0,0,0,94,"3,255","3,349",0,"6,440","6,440","3,256",94,"3,350"
38,47,"Bison Transport, Inc.",Winnipeg,MB,245330,Mike Ludwick,Interim President & CEO,www.bisontransport.com,General Freight,"Bison Transport, Inc./Britton Transport/Searcy Trucking/H.O. Wolding/Hartt Transportation/Pottle's Transportation","1,100,000,000",0,0,0,0,"3,000","3,000",0,"10,000","10,000","2,300","1,000","3,300"
39,44,"Anderson Trucking Service, Inc.",Saint Cloud,MN,,Paul A. Pfeiffer,CFO,www.atsinc.com,Flatbed/Specialized/Heavy Haul,ATS Specialized/ATS/SunBelt Furniture Xpress/Warren Transport/New Energy Transport/Midwest Specialized Transport,,0,0,0,"1,580","1,008","2,588",0,"7,082","7,082","1,008","1,580","2,588"
40,46,Quality Carriers,Tampa,FL,,Randy Strutz,President,www.qualitycarriers.com,Tank/Bulk Commodities,,,0,1,1,"1,893","1,064","2,957",0,"1,592","1,592",,,"3,664"
41,48,"TMC Transportation/Annett Holdings, Inc.",Des Moines,IA,87409,Harold W. Annett,Chairman & CEO,www.tmctrans.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,189,"3,492","3,681",,"4,429","4,429",,,"3,413"
42,45,"KLLM Transport Services, LLC",Richland,MS,154237,"James M. Richards, Jr",President & CEO,www.kllm.com,Refrigerated,KLLM Freight Services/FFE Transportation Services/Ecoshield Transports,"1,057,251,000",0,0,0,0,"3,050","3,050",0,"4,300","4,300",,,"2,705"
43,38,Bennett Family of Companies,McDonough,GA,,Marcia Taylor,CEO,www.bennettig.com,Flatbed/Specialized/Heavy Haul,Bennett Motor Express/Ace Doran Hauling & Rigging Co./Bennett Heavy & Specialized/Bennett Truck Transport/Bennett DriveAway/Boss Crane & Rigging/RoadMasters/American Eagle,"1,127,348,201",0,0,0,"1,385",282,"1,667","1,605","1,903","3,508",108,"4,027","4,135"
44,39,10 Roads Express,Carter Lake,IA,3345061,Timothy R. Pals,CCO,www.10roadsexpress.com,Dedicated contract carriage,,"881,667,300",0,240,240,0,"2,170","2,170",0,"3,486","3,486","3,391",0,"3,391"
45,51,Pitt Ohio Express LLC,Pittsburgh,PA,,Charles L. Hammel III,President,www.pittohio.com,General Freight,Pitt Ohio Express/US Cargo,"944,742,000",0,913,913,29,"1,686","1,715",0,"4,219","4,219","2,952",0,"2,952"
46,42,"Hirschbach Motor Lines, Inc.",Dubuque,IA,65769,Brad Pinchuk,CEO,www.hirschbach.com,Refrigerated,"Hirschbach Motor Lines, Inc./John Christner Trucking, LLC",,0,0,0,"1,064","1,418","2,482",,"4,449","4,449",,,"2,838"
47,49,"FirstFleet, Inc.",Murfreesboro,TN,313891,Gary L. Wilson,President,www.firstfleetinc.com,Dedicated Contract Carriage,,,0,0,0,0,"3,076","3,076",,"11,683","11,683",,,"3,205"
48,50,"Dayton Freight Lines, Inc.",Dayton,OH,273301,"Thomas L. Cronin, Jr.",President,www.daytonfreight.com,General Freight,"Dayton Freight Lines, Inc.","1,019,411,190",0,206,206,0,"1,910","1,910",0,"5,371","5,371","2,755",0,"2,755"
49,67,"Atlas Van Lines, Inc.",Evansville,IN,125550,Jack Griffin,Chairman & CEO,www.atlasworldgroup.com,Household Goods,"Atlas Van Lines, Inc.",,"1,485",1,"1,486","1,571",1,"1,572",,"3,427","3,427",,,"2,307"
50,58,"SIRVA, Inc.",Westmont,IL,,Wes Lucas,President & CEO,www.sirva.com,Household Goods,,,628,0,628,"1,718",0,"1,718",0,"3,799","3,799",,,"3,508"
51,54,Bessemer Management,Cleveland,OH,,David Ferrante,President,www.horizonfreightsystem.com,Intermodal,,,0,0,0,"2,322",162,"2,484",0,"1,247","1,247",,,"2,484"
52,52,"Stevens Transport, Inc.",Dallas,TX,79466,Steve Aaron,Chairman & Founder,www.stevenstransport.com,Refrigerated,"Stevens Transport, Inc.","814,000,000",0,0,0,0,"2,300","2,300",0,"3,850","3,850","1,450",920,"2,370"
53,53,IMC Companies,Collierville,TN,292991,Mark H George,Chairman,www.imcc.com,Intermodal,,"859,429,000",0,0,0,"1,430",770,"2,200",0,150,150,770,"1,430","2,200"
54,55,Cowan Systems LLC,Baltimore,MD,548880,Joseph Cowan,Chairman,www.cowansystems.com,General Freight,Cowan Systems LLC,"670,079,000",0,0,0,481,"1,867","2,348",227,"7,513","7,740","1,757",464,"2,221"
55,140,"Lily Transportation LLC/Transervice Logistics, Inc.",Lake Success,NY,,Gregg Nierenberg,President & CEO,"www.lily.com, www.transervice.com",Dedicated Contract Carriage,,"611,000,000",200,97,297,"2,000",712,"2,712","6,000","1,603","7,603","2,057",0,"2,057"
56,60,"Hogan Transports, Inc.",St. Louis,MO,226618,David Hogan,President,www.hogan1.com,General Freight,Hogan Transports,,0,0,0,0,"2,200","2,200",0,"3,000","3,000","2,400",0,"2,400"
57,56,US 1 Industries,Valpariso,IN,,David Antonson,President,www.us1industries.com,Intermodal,,,0,0,0,"2,169",0,"2,169",0,528,528,,,"2,214"
58,59,"P.A.M. Transportation Services, Inc.",Tontitown,AR,179752,Joe Vitiritto,President & CEO,www.pamtransport.com,General Freight,P.A.M. Transport Inc.,,0,0,0,0,"1,708","1,708",,"7,425","7,425",,,"2,091"
59,63,"A Duie Pyle, Inc.",West Chester,PA,113594,John Luciani,COO,www.aduiepyle.com,General Freight,"A Duie Pyle, Inc.","775,000,000",0,189,189,0,"1,742","1,742",19,"2,924","2,943","2,029",19,"2,048"
60,62,"Roehl Transport, Inc.",Marshfield,WI,74481,Richard Roehl,President,www.roehl.net,General Freight,"Roehl Refrigerated Transport, LLC","526,134,075",0,7,7,115,"1,945","2,060",0,"5,995","5,995","2,186",177,"2,363"
61,61,"Mercer Transportation Co., Inc.",Louisville,KY,154712,James L. Stone,President,www.mercer-trans.com,Flatbed/Specialized/Heavy Haul,"Mercer Transportation Co., Inc.",,0,0,0,"1,939",0,"1,939",,"2,457","2,457",,,"2,066"
62,70,Trimac Transportation,Calgary,AB,,Mathew Faure,President & CEO,www.trimac.com,Tank/Bulk Commodities,B&B Bess/Double Eagle Transportation/Doyle Sims & Sons/Jacknife Oilfield Services/AIP Logistics/Transport Sylvain Lasalle/Feldspar Trucking,,0,4,4,0,"2,200","2,200",0,"4,100","4,100",700,"1,100","1,800"
63,71,"United Road Services, Inc.",Plymouth,MI,790261,Mark Anderson,Chairman & CEO,www.unitedroad.com,Motor Vehicles,"United Road Services, Inc.",,0,0,0,676,"1,121","1,797",,"1,915","1,915",,,"1,536"
64,66,Heniff Transportation Systems,Oak Brook,IL,759493,Robert J. Heniff,CEO,www.heniff.com,Tank/Bulk Commodities,,,0,0,0,"1,998",0,"1,998",,372,372,,,"1,611"
65,57,DB Schenker,Van Buren,AR,213754,George Henry,"EVP, Land Transport, Region Americas",www.dbschenker.com/usa/business/transport/land-transport,General Freight,"USA Truck, Inc.",,0,0,0,503,"1,424","1,927",215,"6,060","6,275","1,071",357,"1,428"
66,64,Quantix,Morris,IL,,Mark Holden,CEO,www.ARDoingitRight.com,Tank/Bulk Commodities,A&R Logistics/L.T. Harnett/First Choice Logistics/RJ's Transportation/Luckey Tank Lines,,2,0,2,564,"1,161","1,725",0,"2,528","2,528",,,"1,428"
67,65,MVT Services LLC/Mesilla Valley Transportation,Las Cruces,NM,270179,Royal Jones,President,www.m-v-t.com,General Freight,"MVT Services, Inc./Mesilla Valley Transportation",,0,0,0,"1,762",0,"1,762",,"6,047","6,047",,,"2,034"
68,73,RoadOne IntermodaLogistics,Randolph,MA,2365308,Ken Kellaway Jr.,President & CEO,www.roadone.com,Intermodal,United Global Logistics/US IntermodaLogisitcs/American IntermodaLogistics/First Coast IntermodaLogistics/Mile High IntermodaLogistics/GuideOne IntermodaLogistics/Crown  IntermodaLogistics/Transporter Intermodal,,0,0,0,"1,362",0,"1,362",,361,361,,,"1,362"
69,68,CEVA Logistics Americas,Houston,TX,,Shawn Stewart,"Executive Vice President, Freight Management, North America",www.cevalogistics.com,General Freight,,,545,0,545,"1,123",0,"1,123",0,"3,724","3,724",,,"2,320"
70,74,"Maverick USA, Inc.",Little Rock,AR,178538,Steve Williams,CEO,www.maverickusa.com,Flatbed/Specialized/Heavy Haul,"Maverick Transportation, LLC","450,546,159",23,0,23,63,"1,536","1,599",1,"2,445","2,446","1,637",70,"1,707"
71,76,Foodliner/Quest Liner Inc.,Dubuque,IA,,Greg McCoy,President,www.foodliner.com,Tank/Bulk Commodities,"Foodliner, Inc./Quest Liner, Inc.","496,098,800",0,0,0,258,"1,276","1,534",0,"3,200","3,200","1,276",258,"1,534"
72,75,"Melton Truck Lines, Inc.",Tulsa,OK,34666,Robert A Peterson,Chairman & CEO,www.meltontruck.com,Flatbed/Specialized/Heavy Haul,"Melton Truck Lines, Inc.","414,470,035",0,0,0,0,"1,544","1,544",0,"2,386","2,386","1,320",0,"1,320"
73,82,Dart Transit Co.,Eagan,MN,,Donald Oren,Chairman,www.dart.net,General Freight,Dart Transit Co./Dart Express/Mainstream Transportation,,0,0,0,263,"1,134","1,397",0,"6,610","6,610",,,"1,530"
74,72,"ContainerPort Group, Inc.",Cleveland,OH,232734,Joey Palmer,President,www.containerport.com,Intermodal,,"325,000,000",0,0,0,"1,405",100,"1,505",0,230,230,100,"1,405","1,505"
75,81,Jack Cooper Transport Co. Inc.,Kansas City,MO,64161,Robert G. Griffin,Chief Executive Officer,www.jackcooper.com,Motor Vehicles,,,0,0,0,588,573,"1,161",,973,973,,,"1,172"
76,85,"Tri-National, Inc.",St. Charles,MO,1266329,Robert Rogulic,President,www.tri-nat.com,General Freight,,,0,0,0,0,"1,218","1,218",0,"4,460","4,460","1,645",0,"1,645"
77,78,Lynden Companies,Anchorage,AK,,Jon Burdick,President & CEO,www.lynden.com,Intermodal,"Alaska Marine Lines/Alaska West Express/Lynden Air Cargo/Lynden Logistics/Lynden Transport/LTI, Inc.","1,350,000,000",0,105,105,0,900,900,0,"2,773","2,773",639,136,775
78,87,"PGT Trucking, Inc.",Aliquippa,PA,192897,Gregg Troian,President,www.pgttrucking.com,Flatbed/Specialized/Heavy Haul,PGT Trucking/PGT Services/Southern Pines Trucking/Liedtka Logistics,"425,089,000",0,0,0,575,624,"1,199",286,"1,725","2,011",558,547,"1,105"
79,86,The Dana Companies,Avenel,NJ,,Ronald Dana,President,www.danacompanies.com,Tank/Bulk Commodities,,,0,3,3,828,406,"1,234",0,170,170,,,"1,204"
80,84,"Mr. Bult's, Inc.",Burnham,IL,387102,Tony Schmidt,President,www.mrbults.com,Tank/Bulk Commodities,,,0,58,58,0,"1,405","1,405",0,"2,864","2,864",,,972
81,89,Western Flyer Express,Oklahoma City,OK,658909,Randy Timms,CEO,www.drivewfx.com,General Freight,,,0,0,0,"1,175",0,"1,175",,"3,000","3,000",,,"1,175"
82,88,"Stan Koch & Sons Trucking, Inc.",Minneapolis,MN,146060,Dave Koch,CEO,www.kochtrucking.us,General Freight,"Stan Koch & Sons Trucking, Inc.","441,634,000",0,385,385,0,"1,000","1,000",0,"6,000","6,000",850,0,850
83,92,Venture Transport,Indianapolis,IN,911759,Doug Williams,President,www.venlog.com,General Freight,,,18,0,18,406,628,"1,034",,"5,059","5,059",,,"1,276"
84,90,"Martin Transportation Systems, Inc.",Byron Center,MI,215732,Richard E. Johnson,President,www.mtstrans.com,Dedicated contract carriage,,,0,2,2,61,"1,028","1,089",,"2,390","2,390",,,"1,247"
85,96,"TransWood Carriers, Inc.",Omaha,NE,,Brian K. Wood,President,www.transwood.com,Tank/Bulk Commodities,"TransWood, Inc./TransWood Logistics/Kane Transport","292,000,000",0,0,0,260,786,"1,046",7,"2,375","2,382",904,260,"1,164"
86,91,"Trans-System, Inc.",Spokane,WA,,Dennis J. Williams,CEO,www.trans-system.com,General Freight,"System Transport, Inc./T-W Transport, Inc./James J. Williams","332,000,000",0,0,0,100,905,"1,005",0,"1,900","1,900",870,170,"1,040"
87,83,New Legend Inc,Phoenix,AZ,1419483,Robert D. Moffitt,Executive Vice President,www.newlegendinc.com,General Freight,,,0,0,0,0,"1,200","1,200",,"4,143","4,143",,,945
88,94,Carter Express,Anderson,IN,223337,Jessica Paugh Warnke,President & CEO,www.carter-express.com,Dedicated Contract Carriage,"Carter Express, Inc.","413,000,000",0,1,1,0,943,943,"1,000","1,600","2,600",883,60,943
89,93,"Paschall Truck Lines, Inc.",Murray,KY,105234,David A. Gibbs,President & CEO,www.ptl-inc.com,General Freight,"Paschall Truck Lines, Inc.",,0,0,0,8,"1,081","1,089",,"3,200","3,200",,,"1,089"
90,99,"Oak Harbor Freight Lines, Inc.",Auburn,WA,8314,Edward H. Vander Pol,Co-President & Co-Owner,www.oakh.com,General Freight,"Oak Harbor Freight Lines, Inc.",,0,74,74,0,829,829,,"2,662","2,662",,,"1,110"
91,97,C&K Trucking LLC,Chicago Ridge,IL,540864,Michael Burton,President,www.cktrucking.com,Intermodal,,,0,0,0,985,1,986,,893,893,,,983
92,100,"Transport Investments, Inc.",Pittsburgh,PA,,Douglas B. McAdams,President,www.thetii.com,Flatbed/Specialized/Heavy Haul,,,0,0,0,"1,068",0,"1,068",0,"1,668","1,668",,,"1,054"
93,105,"Wheaton Van Lines, Inc.",Indianapolis,IN,,Mark Kirschner,CEO,www.wheatonworldwide.com,Household Goods,,,181,18,199,700,12,712,0,"1,150","1,150",,,"1,194"
94,98,May Trucking Co.,Salem,OR,94081,David Daniels,President,www.maytrucking.com,Refrigerated,May Trucking Co.,"204,698,441",0,0,0,0,"1,123","1,123",0,"2,780","2,780","1,065",0,"1,065"
95,107,United Vision Logistics Holding Corp.,Lafayette,LA,286600,Rusty Guilbeau,CEO,www.visionlogisticsholding.com,Flatbed/Specialized/Heavy Haul,United Vision Logistics,,77,0,77,955,0,955,,"1,227","1,227",,,"1,007"
96,80,Paladin Captal Inc.,Brentwood,TN,757161,Brian Hall,CEO,www.paladin-capital.com,Dedicated Contract Carriage,Quickway Carriers/Quickway Transportation/Quickway Services/Magnum Transportation Solutions/Robert Bearden/Dolphin Line/SNL Distribution Services,"279,016,595",0,11,11,592,345,937,"1,289",695,"1,984",930,0,930
97,101,"Acme Truck Line, Inc.",Gretna,LA,52767,Mike Coatney,Chairman of the Board,www.acmetruck.com,Flatbed/Specialized/Heavy Haul,"Acme Truck Line, Inc.","248,466,735",281,0,281,631,0,631,773,0,773,"1,147",0,"1,147"
98,108,"Tankstar USA, Inc.",Milwaukee,WI,,Jack Schwerman,President,www.tankstar.com,Tank/Bulk Commodities,,,0,0,0,698,714,"1,412",0,"1,816","1,816",,,587
99,103,The Decker Companies,Fort Dodge,IA,53824,Dale Decker,CEO,www.deckertruckline.com,General Freight,,"289,000,000",0,0,0,0,826,826,0,"1,563","1,563",785,87,872
100,114,Hansen & Adkins Auto Transport,Los Alamitos,CA,568253,Louie Adkins,President,www.hansenadkins.com,Motor Vehicles,,,0,0,0,238,659,897,,897,897,,,897
101,113,Oakley Trucking,North Little Rock,AR,3259,Dennis Oakley,President,www.bruceoakley.com,Tank/Bulk Commodities,Oakley Trucking,,0,0,0,920,0,920,,972,972,,,920
